Placement,ID,Gender,Athlete,Sport,Previous Instructor,Illegal Sections,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6
,347,M,,,,,Section-13,Section-22,Section-33,Section-35,Section-12,Section-11
,348,M,,,,,Section-33,Section-27,Section-11,Section-35,Section-8,Section-24
,349,F,,,,,Section-25,Section-7,Section-5,Section-19,Section-4,Section-8
,350,F,Y,,,,Section-1,Section-19,Section-22,Section-33,Section-13,Section-32
,351,M,,,,,Section-1,Section-25,Section-18,Section-6,Section-3,Section-24
,352,F,Y,,,,Section-22,Section-26,Section-19,Section-16,Section-20,Section-5
,353,F,,,,,Section-32,Section-13,Section-35,Section-17,Section-28,Section-9
,354,F,Y,,,,Section-10,Section-32,Section-20,Section-9,Section-26,Section-27
,355,M,,,,,Section-23,Section-4,Section-13,Section-3,Section-17,Section-2
,356,M,,,,,Section-22,Section-4,Section-18,Section-28,Section-14,Section-5
Section-20,357,F,,,,,Section-19,Section-20,Section-5,Section-32,Section-23,Section-12
Section-34,358,F,,,,,Section-31,Section-34,Section-14,Section-9,Section-29,Section-10
,359,F,Y,,,,Section-26,Section-7,Section-16,Section-11,Section-14,Section-21
,360,M,,,,,Section-22,Section-18,Section-2,Section-30,Section-35,Section-9
,361,F,,,,,Section-11,Section-12,Section-32,Section-25,Section-17,Section-29
,362,F,,,,,Section-27,Section-8,Section-24,Section-20,Section-18,Section-15
,363,F,,,,,Section-33,Section-26,Section-25,Section-27,Section-31,Section-32
,364,M,,,,,Section-12,Section-23,Section-15,Section-25,Section-29,Section-28
,365,M,,,,,Section-15,Section-35,Section-25,Section-32,Section-11,Section-13
,366,M,,,,,Section-11,Section-4,Section-29,Section-10,Section-19,Section-6
,367,F,Y,,,,Section-7,Section-10,Section-22,Section-31,Section-6,Section-17
,368,F,,,,,Section-16,Section-20,Section-9,Section-30,Section-8,Section-35
,369,F,,,,,Section-17,Section-27,Section-32,Section-16,Section-28,Section-18
,370,M,Y,,,,Section-13,Section-7,Section-19,Section-25,Section-9,Section-2
,371,F,,,,,Section-33,Section-11,Section-34,Section-17,Section-16,Section-3
,372,F,,,,,Section-24,Section-35,Section-20,Section-26,Section-9,Section-34
,373,F,,,,,Section-4,Section-1,Section-25,Section-26,Section-29,Section-18
,374,F,,,,,Section-20,Section-13,Section-3,Section-24,Section-18,Section-33
,375,F,,,,,Section-2,Section-18,Section-30,Section-21,Section-19,Section-31
,376,M,,,,,Section-29,Section-13,Section-27,Section-17,Section-25,Section-4
Section-29,377,M,Y,,,,Section-29,Section-15,Section-3,Section-11,Section-17,Section-35
,378,F,,,,,Section-32,Section-19,Section-33,Section-23,Section-3,Section-9
,379,F,Y,,,,Section-8,Section-24,Section-31,Section-29,Section-26,Section-32
Section-26,380,M,,,,,Section-31,Section-26,Section-15,Section-24,Section-7,Section-33
Section-30,381,M,Y,,,,Section-7,Section-30,Section-4,Section-14,Section-20,Section-28
,382,F,,,,,Section-15,Section-12,Section-23,Section-32,Section-3,Section-24
,383,F,Y,,,,Section-33,Section-28,Section-7,Section-34,Section-13,Section-16
,384,F,,,,,Section-13,Section-18,Section-12,Section-27,Section-24,Section-29
,385,F,,,,,Section-23,Section-2,Section-9,Section-11,Section-31,Section-14
,386,F,,,,,Section-9,Section-4,Section-31,Section-2,Section-24,Section-29
,387,F,Y,,,,Section-17,Section-8,Section-12,Section-16,Section-29,Section-11
,388,F,Y,,,,Section-32,Section-35,Section-1,Section-28,Section-5,Section-30
,389,F,,,,,Section-3,Section-30,Section-15,Section-31,Section-11,Section-10
,390,M,,,,,Section-3,Section-28,Section-18,Section-34,Section-14,Section-11
,391,F,,,,,Section-29,Section-26,Section-30,Section-25,Section-14,Section-5
,392,F,,,,,Section-6,Section-16,Section-13,Section-12,Section-19,Section-10
,393,F,,,,,Section-27,Section-29,Section-26,Section-30,Section-21,Section-5
Section-33,394,F,,,,,Section-33,Section-29,Section-26,Section-12,Section-28,Section-24
,395,F,Y,,,,Section-28,Section-22,Section-27,Section-3,Section-12,Section-5
,396,M,,,,,Section-6,Section-22,Section-7,Section-1,Section-19,Section-8
,397,F,,,,,Section-31,Section-1,Section-29,Section-6,Section-13,Section-21
,398,F,,,,,Section-2,Section-11,Section-20,Section-31,Section-7,Section-32
,399,F,,,,,Section-4,Section-12,Section-11,Section-32,Section-22,Section-14
,400,F,Y,,,,Section-28,Section-3,Section-18,Section-9,Section-19,Section-6
,401,F,,,,,Section-4,Section-1,Section-21,Section-17,Section-9,Section-31
,402,F,,,,,Section-6,Section-32,Section-23,Section-27,Section-31,Section-26
,403,F,,,,,Section-25,Section-14,Section-23,Section-24,Section-21,Section-13
Section-31,404,M,,,,,Section-31,Section-35,Section-26,Section-21,Section-34,Section-7
,405,F,,,,,Section-27,Section-35,Section-9,Section-28,Section-8,Section-17
,406,F,,,,,Section-32,Section-7,Section-19,Section-23,Section-24,Section-35
,407,F,,,,,Section-25,Section-2,Section-18,Section-17,Section-33,Section-35
,408,F,,,,,Section-16,Section-7,Section-34,Section-2,Section-32,Section-28
,409,F,,,,,Section-7,Section-8,Section-1,Section-17,Section-21,Section-9
,410,M,,,,,Section-34,Section-2,Section-31,Section-30,Section-28,Section-8
,411,M,Y,,,,Section-25,Section-4,Section-7,Section-28,Section-1,Section-26
,412,M,Y,,,,Section-6,Section-14,Section-15,Section-34,Section-35,Section-26
,413,M,,,,,Section-9,Section-31,Section-12,Section-3,Section-11,Section-26
,414,M,Y,,,,Section-7,Section-13,Section-6,Section-31,Section-32,Section-33
,415,M,,,,,Section-9,Section-30,Section-24,Section-4,Section-27,Section-26
,416,F,,,,,Section-2,Section-17,Section-18,Section-4,Section-25,Section-8
,417,M,,,,,Section-31,Section-19,Section-8,Section-26,Section-34,Section-22
,418,M,,,,,Section-27,Section-7,Section-8,Section-2,Section-29,Section-28
,419,F,,,,,Section-29,Section-2,Section-22,Section-8,Section-27,Section-17
,420,F,,,,,Section-22,Section-28,Section-21,Section-26,Section-27,Section-31
,421,F,,,,,Section-23,Section-25,Section-12,Section-31,Section-7,Section-16
,422,M,,,,,Section-2,Section-3,Section-5,Section-32,Section-33,Section-9
,423,F,,,,,Section-9,Section-19,Section-22,Section-12,Section-15,Section-34
,424,F,,,,,Section-24,Section-5,Section-13,Section-4,Section-23,Section-11
,425,M,Y,,,,Section-4,Section-28,Section-16,Section-29,Section-20,Section-1
,426,M,,,,,Section-31,Section-2,Section-28,Section-4,Section-18,Section-24
,427,M,,,,,Section-7,Section-10,Section-11,Section-33,Section-19,Section-8
,428,M,,,,,Section-4,Section-29,Section-33,Section-14,Section-9,Section-25
,429,M,,,,,Section-12,Section-8,Section-11,Section-30,Section-16,Section-2
,430,F,,,,,Section-26,Section-25,Section-2,Section-12,Section-30,Section-11
,431,M,,,,,Section-7,Section-12,Section-14,Section-35,Section-22,Section-13
Section-13,432,F,,,,,Section-30,Section-18,Section-13,Section-27,Section-1,Section-3
,433,F,Y,,,,Section-33,Section-28,Section-27,Section-17,Section-9,Section-4
,434,M,,,,,Section-25,Section-28,Section-7,Section-20,Section-12,Section-2
Section-15,435,M,,,,,Section-3,Section-9,Section-15,Section-19,Section-25,Section-2
,436,F,,,,,Section-10,Section-27,Section-3,Section-35,Section-31,Section-30
,437,F,,,,,Section-10,Section-29,Section-12,Section-33,Section-1,Section-5
,438,F,Y,,,,Section-17,Section-8,Section-5,Section-28,Section-31,Section-2
,439,M,,,,,Section-21,Section-18,Section-29,Section-5,Section-13,Section-20
,440,M,,,,,Section-24,Section-34,Section-15,Section-22,Section-8,Section-5
,441,M,,,,,Section-35,Section-4,Section-28,Section-16,Section-13,Section-5
,442,F,,,,,Section-23,Section-13,Section-21,Section-20,Section-14,Section-19
,443,F,,,,,Section-8,Section-28,Section-27,Section-34,Section-17,Section-5
,444,F,Y,,,,Section-23,Section-27,Section-26,Section-17,Section-10,Section-18
,445,F,,,,,Section-32,Section-8,Section-1,Section-25,Section-18,Section-2
,446,F,,,,,Section-22,Section-19,Section-15,Section-29,Section-34,Section-23
,447,F,,,,,Section-16,Section-28,Section-32,Section-31,Section-8,Section-14
,448,F,,,,,Section-9,Section-12,Section-2,Section-34,Section-32,Section-31
,449,M,,,,,Section-35,Section-27,Section-14,Section-31,Section-2,Section-33
,450,F,Y,,,,Section-1,Section-13,Section-15,Section-3,Section-2,Section-22
,451,F,,,,,Section-27,Section-22,Section-15,Section-8,Section-12,Section-4
,452,F,,,,,Section-18,Section-11,Section-22,Section-29,Section-1,Section-13
,453,M,Y,,,,Section-8,Section-25,Section-23,Section-1,Section-10,Section-7
,454,F,,,,,Section-25,Section-10,Section-35,Section-27,Section-24,Section-19
Section-12,455,F,Y,,,,Section-12,Section-27,Section-24,Section-18,Section-26,Section-6
,456,F,,,,,Section-29,Section-13,Section-19,Section-18,Section-11,Section-3
,457,F,,,,,Section-32,Section-13,Section-20,Section-35,Section-7,Section-6
,458,F,,,,,Section-6,Section-20,Section-3,Section-1,Section-7,Section-14
,459,M,,,,,Section-32,Section-19,Section-34,Section-35,Section-27,Section-8
,460,F,,,,,Section-23,Section-20,Section-15,Section-2,Section-11,Section-25
,461,M,Y,,,,Section-23,Section-14,Section-34,Section-8,Section-27,Section-3
,462,F,Y,,,,Section-18,Section-1,Section-35,Section-12,Section-4,Section-24
,463,F,,,,,Section-32,Section-20,Section-7,Section-9,Section-21,Section-30
,464,M,,,,,Section-33,Section-3,Section-29,Section-34,Section-24,Section-4
,465,M,,,,,Section-26,Section-19,Section-27,Section-20,Section-18,Section-29
,466,F,Y,,,,Section-16,Section-5,Section-32,Section-24,Section-35,Section-30
,467,F,,,,,Section-26,Section-15,Section-17,Section-13,Section-29,Section-18
,468,F,Y,,,,Section-6,Section-28,Section-2,Section-16,Section-11,Section-14
,469,M,,,,,Section-11,Section-33,Section-18,Section-28,Section-22,Section-23
,470,F,,,,,Section-28,Section-25,Section-22,Section-33,Section-10,Section-16
,471,F,,,,,Section-34,Section-3,Section-35,Section-12,Section-6,Section-10
Section-4,472,F,,,,,Section-22,Section-33,Section-4,Section-13,Section-32,Section-6
,473,F,,,,,Section-32,Section-27,Section-24,Section-5,Section-30,Section-2
Section-1,474,M,,,,,Section-2,Section-1,Section-24,Section-3,Section-6,Section-22
,475,M,Y,,,,Section-22,Section-33,Section-34,Section-6,Section-10,Section-7
,476,M,,,,,Section-33,Section-11,Section-8,Section-31,Section-34,Section-10
,477,F,,,,,Section-32,Section-16,Section-34,Section-15,Section-27,Section-26
Section-35,478,M,,,,,Section-13,Section-21,Section-35,Section-15,Section-20,Section-31
,479,F,,,,,Section-4,Section-27,Section-29,Section-11,Section-3,Section-14
,480,F,,,,,Section-3,Section-24,Section-8,Section-25,Section-17,Section-4
,481,F,Y,,,,Section-6,Section-25,Section-13,Section-5,Section-9,Section-35
,482,M,,,,,Section-13,Section-4,Section-21,Section-11,Section-8,Section-15
,483,F,,,,,Section-18,Section-31,Section-32,Section-11,Section-8,Section-22
,484,M,,,,,Section-31,Section-14,Section-7,Section-8,Section-25,Section-3
Section-20,485,F,,,,,Section-20,Section-25,Section-1,Section-17,Section-29,Section-28
Section-11,486,M,,,,,Section-1,Section-7,Section-11,Section-32,Section-19,Section-26
,487,F,,,,,Section-35,Section-11,Section-13,Section-1,Section-14,Section-18
,488,F,,,,,Section-27,Section-19,Section-18,Section-20,Section-2,Section-6
,489,M,Y,,,,Section-24,Section-35,Section-4,Section-32,Section-7,Section-10
,490,F,,,,,Section-26,Section-27,Section-21,Section-1,Section-16,Section-8
,491,M,,,,,Section-11,Section-21,Section-20,Section-30,Section-4,Section-28
,492,F,Y,,,,Section-26,Section-17,Section-8,Section-19,Section-9,Section-21
,493,M,Y,,,,Section-29,Section-25,Section-7,Section-23,Section-32,Section-24
,494,F,Y,,,,Section-34,Section-21,Section-33,Section-4,Section-30,Section-15
,495,M,,,,,Section-10,Section-23,Section-15,Section-18,Section-5,Section-6
Section-18,496,M,,,,,Section-19,Section-18,Section-27,Section-20,Section-15,Section-3
,497,F,,,,,Section-16,Section-21,Section-13,Section-33,Section-32,Section-11
,498,F,,,,,Section-2,Section-32,Section-17,Section-21,Section-12,Section-25
,499,F,,,,,Section-10,Section-24,Section-14,Section-12,Section-11,Section-31
Section-20,500,M,,,,,Section-10,Section-4,Section-20,Section-12,Section-5,Section-17
,501,M,,,,,Section-24,Section-7,Section-35,Section-15,Section-23,Section-29
,502,M,,,,,Section-22,Section-7,Section-4,Section-26,Section-5,Section-14
,503,M,,,,,Section-2,Section-14,Section-16,Section-20,Section-22,Section-30
,504,F,Y,,,,Section-18,Section-22,Section-12,Section-4,Section-33,Section-9
,505,F,,,,,Section-4,Section-15,Section-3,Section-19,Section-22,Section-25
,506,M,,,,,Section-31,Section-16,Section-10,Section-13,Section-21,Section-14
Section-1,507,M,Y,,,,Section-1,Section-4,Section-2,Section-29,Section-15,Section-23
,508,F,,,,,Section-1,Section-13,Section-28,Section-31,Section-11,Section-5
,509,F,,,,,Section-20,Section-18,Section-15,Section-31,Section-34,Section-3
,510,F,,,,,Section-25,Section-7,Section-15,Section-13,Section-1,Section-23
Section-3,511,F,,,,,Section-9,Section-3,Section-29,Section-17,Section-27,Section-13
Section-11,512,F,,,,,Section-11,Section-18,Section-12,Section-35,Section-30,Section-13
Section-12,513,M,,,,,Section-12,Section-35,Section-28,Section-30,Section-26,Section-33
,514,F,,,,,Section-35,Section-31,Section-33,Section-17,Section-13,Section-20
,515,M,,,,,Section-29,Section-31,Section-12,Section-3,Section-4,Section-19
,516,M,,,,,Section-7,Section-28,Section-26,Section-3,Section-25,Section-32
,517,M,Y,,,,Section-35,Section-22,Section-24,Section-26,Section-4,Section-23
,518,M,,,,,Section-30,Section-21,Section-16,Section-24,Section-25,Section-33
,519,F,,,,,Section-11,Section-30,Section-32,Section-18,Section-25,Section-9
,520,F,,,,,Section-25,Section-29,Section-8,Section-24,Section-2,Section-32
,521,F,,,,,Section-12,Section-24,Section-17,Section-13,Section-4,Section-19
,522,F,,,,,Section-33,Section-31,Section-18,Section-2,Section-35,Section-32
,523,M,,,,,Section-30,Section-11,Section-25,Section-18,Section-3,Section-8
,524,F,,,,,Section-20,Section-9,Section-5,Section-21,Section-30,Section-18
,525,M,,,,,Section-35,Section-8,Section-32,Section-2,Section-12,Section-4
,526,F,,,,,Section-21,Section-30,Section-5,Section-28,Section-27,Section-2
Section-18,527,M,,,,,Section-31,Section-19,Section-18,Section-5,Section-11,Section-14
,528,F,Y,,,,Section-34,Section-14,Section-2,Section-24,Section-13,Section-19
,529,F,,,,,Section-29,Section-2,Section-24,Section-33,Section-5,Section-3
,530,M,,,,,Section-32,Section-23,Section-29,Section-8,Section-26,Section-9
,531,F,,,,,Section-26,Section-8,Section-1,Section-35,Section-29,Section-17
,532,M,,,,,Section-16,Section-25,Section-33,Section-2,Section-1,Section-21
,533,F,,,,,Section-6,Section-2,Section-28,Section-21,Section-17,Section-32
,534,M,Y,,,,Section-3,Section-17,Section-12,Section-4,Section-32,Section-30
Section-7,535,F,Y,,,,Section-21,Section-35,Section-7,Section-31,Section-20,Section-4
Section-20,536,M,,,,,Section-3,Section-20,Section-8,Section-24,Section-34,Section-9
,537,M,Y,,,,Section-29,Section-26,Section-13,Section-25,Section-30,Section-16
,538,M,,,,,Section-13,Section-29,Section-30,Section-3,Section-25,Section-28
Section-4,539,M,,,,,Section-1,Section-4,Section-3,Section-2,Section-6,Section-28
,540,M,Y,,,,Section-31,Section-19,Section-16,Section-20,Section-6,Section-17
,541,F,Y,,,,Section-6,Section-5,Section-26,Section-20,Section-16,Section-9
,542,F,,,,,Section-5,Section-7,Section-8,Section-22,Section-32,Section-11
,543,M,,,,,Section-29,Section-5,Section-12,Section-21,Section-23,Section-33
,544,M,,,,,Section-23,Section-29,Section-33,Section-12,Section-34,Section-8
,545,M,Y,,,,Section-16,Section-7,Section-12,Section-22,Section-15,Section-30
,546,F,,,,,Section-25,Section-15,Section-5,Section-24,Section-20,Section-23
,547,M,,,,,Section-30,Section-18,Section-10,Section-33,Section-16,Section-29
,548,F,Y,,,,Section-1,Section-23,Section-7,Section-31,Section-17,Section-13
,549,M,,,,,Section-27,Section-19,Section-24,Section-28,Section-26,Section-25
,550,M,,,,,Section-32,Section-1,Section-13,Section-28,Section-30,Section-23
,551,F,,,,,Section-23,Section-21,Section-28,Section-1,Section-7,Section-14
,552,F,,,,,Section-20,Section-18,Section-31,Section-15,Section-7,Section-12
,553,F,,,,,Section-5,Section-14,Section-6,Section-25,Section-10,Section-11
,554,M,,,,,Section-5,Section-14,Section-7,Section-3,Section-25,Section-10
,555,M,,,,,Section-11,Section-21,Section-35,Section-25,Section-12,Section-4
,556,M,,,,,Section-3,Section-8,Section-18,Section-12,Section-22,Section-4
Section-13,557,F,,,,,Section-9,Section-17,Section-13,Section-16,Section-23,Section-14
,558,F,Y,,,,Section-2,Section-21,Section-27,Section-3,Section-6,Section-9
,559,M,,,,,Section-21,Section-8,Section-12,Section-10,Section-23,Section-19
,560,F,,,,,Section-12,Section-26,Section-11,Section-15,Section-28,Section-24
,561,F,,,,,Section-13,Section-24,Section-9,Section-11,Section-5,Section-15
,562,F,,,,,Section-29,Section-17,Section-11,Section-15,Section-21,Section-10
,563,F,Y,,,,Section-16,Section-6,Section-15,Section-32,Section-8,Section-33
,564,M,,,,,Section-30,Section-7,Section-23,Section-3,Section-35,Section-32
,565,F,,,,,Section-17,Section-9,Section-35,Section-26,Section-14,Section-29
,566,F,,,,,Section-31,Section-18,Section-11,Section-16,Section-5,Section-22
,567,M,,,,,Section-33,Section-4,Section-24,Section-3,Section-30,Section-5
,568,F,,,,,Section-6,Section-8,Section-7,Section-9,Section-31,Section-2
,569,F,Y,,,,Section-13,Section-23,Section-18,Section-2,Section-31,Section-14
,570,F,Y,,,,Section-2,Section-22,Section-11,Section-8,Section-20,Section-12
,571,M,Y,,,,Section-13,Section-20,Section-9,Section-10,Section-18,Section-28
,572,M,,,,,Section-11,Section-2,Section-23,Section-35,Section-25,Section-24
,573,F,,,,,Section-27,Section-17,Section-4,Section-16,Section-13,Section-35
,574,M,,,,,Section-5,Section-6,Section-34,Section-3,Section-27,Section-18
,575,F,,,,,Section-26,Section-25,Section-14,Section-9,Section-16,Section-3
,576,M,Y,,,,Section-29,Section-18,Section-13,Section-1,Section-4,Section-20
,577,F,Y,,,,Section-24,Section-30,Section-29,Section-26,Section-1,Section-21
,578,F,,,,,Section-35,Section-20,Section-13,Section-10,Section-17,Section-4
,579,F,,,,,Section-24,Section-26,Section-16,Section-19,Section-8,Section-29
,580,F,,,,,Section-12,Section-3,Section-17,Section-10,Section-6,Section-2
,581,M,,,,,Section-22,Section-19,Section-21,Section-13,Section-8,Section-20
,582,F,,,,,Section-33,Section-19,Section-2,Section-5,Section-12,Section-21
,583,M,,,,,Section-5,Section-24,Section-32,Section-35,Section-19,Section-8
,584,M,,,,,Section-31,Section-25,Section-9,Section-4,Section-17,Section-23
Section-14,585,F,,,,,Section-1,Section-14,Section-9,Section-19,Section-5,Section-16
,586,F,,,,,Section-1,Section-21,Section-24,Section-35,Section-23,Section-17
,587,M,,,,,Section-22,Section-5,Section-17,Section-9,Section-21,Section-24
,588,M,,,,,Section-3,Section-28,Section-12,Section-2,Section-25,Section-21
Section-3,589,F,,,,,Section-10,Section-3,Section-1,Section-33,Section-29,Section-16
,590,F,,,,,Section-14,Section-24,Section-7,Section-21,Section-23,Section-18
,591,M,,,,,Section-14,Section-18,Section-24,Section-26,Section-35,Section-30
,592,F,,,,,Section-2,Section-35,Section-31,Section-28,Section-13,Section-32
,593,M,Y,,,,Section-3,Section-27,Section-12,Section-14,Section-9,Section-10
,594,M,,,,,Section-10,Section-24,Section-11,Section-7,Section-19,Section-18
Section-34,595,F,,,,,Section-25,Section-34,Section-6,Section-19,Section-10,Section-7
,596,M,,,,,Section-4,Section-12,Section-23,Section-21,Section-35,Section-29
,597,M,,,,,Section-14,Section-18,Section-7,Section-15,Section-2,Section-32
,598,M,Y,,,,Section-35,Section-14,Section-18,Section-17,Section-31,Section-20
,599,F,,,,,Section-10,Section-16,Section-34,Section-35,Section-32,Section-24
,600,F,,,,,Section-29,Section-21,Section-30,Section-1,Section-14,Section-17
,601,F,Y,,,,Section-33,Section-7,Section-4,Section-6,Section-31,Section-22
,602,M,,,,,Section-25,Section-13,Section-14,Section-10,Section-9,Section-26
,603,F,,,,,Section-18,Section-30,Section-25,Section-2,Section-3,Section-34
,604,M,Y,,,,Section-29,Section-13,Section-12,Section-18,Section-20,Section-9
,605,M,Y,,,,Section-17,Section-13,Section-31,Section-35,Section-33,Section-24
,606,F,,,,,Section-13,Section-14,Section-3,Section-11,Section-2,Section-9
Section-26,607,F,,,,,Section-7,Section-26,Section-35,Section-4,Section-34,Section-32
,608,M,,,,,Section-27,Section-20,Section-33,Section-31,Section-11,Section-34
,609,F,,,,,Section-22,Section-24,Section-12,Section-32,Section-16,Section-35
,610,F,,,,,Section-24,Section-14,Section-16,Section-28,Section-22,Section-4
,611,M,,,,,Section-3,Section-8,Section-20,Section-26,Section-30,Section-35
,612,M,,,,,Section-8,Section-27,Section-5,Section-3,Section-32,Section-29
,613,F,Y,,,,Section-6,Section-13,Section-35,Section-33,Section-30,Section-2
,614,F,,,,,Section-24,Section-15,Section-30,Section-7,Section-16,Section-4
,615,F,,,,,Section-1,Section-28,Section-26,Section-32,Section-27,Section-15
,616,M,,,,,Section-28,Section-2,Section-10,Section-26,Section-14,Section-16
,617,F,,,,,Section-35,Section-6,Section-19,Section-3,Section-12,Section-25
,618,M,Y,,,,Section-29,Section-1,Section-14,Section-8,Section-11,Section-3
Section-22,619,M,Y,,,,Section-30,Section-22,Section-19,Section-7,Section-15,Section-29
,620,F,,,,,Section-29,Section-10,Section-7,Section-17,Section-21,Section-1
,621,F,,,,,Section-5,Section-14,Section-22,Section-2,Section-8,Section-30
,622,F,Y,,,,Section-4,Section-30,Section-29,Section-13,Section-12,Section-11
,623,F,,,,,Section-8,Section-16,Section-9,Section-19,Section-13,Section-4
,624,M,,,,,Section-29,Section-31,Section-27,Section-14,Section-6,Section-28
,625,F,Y,,,,Section-5,Section-12,Section-18,Section-1,Section-27,Section-21
,626,F,,,,,Section-31,Section-30,Section-34,Section-3,Section-15,Section-4
,627,M,,,,,Section-28,Section-8,Section-6,Section-18,Section-25,Section-32
,628,F,,,,,Section-12,Section-30,Section-4,Section-24,Section-29,Section-5
,629,F,,,,,Section-33,Section-11,Section-15,Section-28,Section-22,Section-27
,630,M,,,,,Section-27,Section-29,Section-33,Section-31,Section-12,Section-24
,631,M,,,,,Section-26,Section-16,Section-23,Section-5,Section-28,Section-4
,632,F,,,,,Section-2,Section-14,Section-9,Section-1,Section-7,Section-8
,633,F,Y,,,,Section-27,Section-11,Section-33,Section-13,Section-29,Section-17
,634,F,,,,,Section-31,Section-15,Section-7,Section-34,Section-29,Section-3
,635,M,,,,,Section-25,Section-17,Section-34,Section-23,Section-30,Section-33
,636,M,Y,,,,Section-35,Section-19,Section-17,Section-33,Section-9,Section-3
,637,F,,,,,Section-35,Section-32,Section-12,Section-14,Section-17,Section-26
,638,M,,,,,Section-23,Section-33,Section-34,Section-5,Section-9,Section-15
,639,M,,,,,Section-27,Section-18,Section-31,Section-8,Section-9,Section-23
,640,F,,,,,Section-31,Section-22,Section-11,Section-2,Section-9,Section-34
,641,M,,,,,Section-27,Section-33,Section-5,Section-30,Section-14,Section-17
Section-6,642,F,,,,,Section-6,Section-21,Section-17,Section-20,Section-19,Section-2
,643,F,,,,,Section-11,Section-13,Section-1,Section-30,Section-20,Section-8
,644,F,,,,,Section-20,Section-21,Section-16,Section-2,Section-12,Section-9
,645,M,,,,,Section-20,Section-24,Section-6,Section-11,Section-14,Section-5
,646,M,,,,,Section-15,Section-30,Section-5,Section-29,Section-21,Section-26
,647,M,,,,,Section-21,Section-32,Section-7,Section-5,Section-34,Section-19
,648,M,,,,,Section-6,Section-13,Section-12,Section-9,Section-5,Section-33
,649,F,,,,,Section-15,Section-9,Section-22,Section-18,Section-16,Section-29
,650,M,Y,,,,Section-2,Section-35,Section-10,Section-18,Section-1,Section-5
,651,M,Y,,,,Section-26,Section-13,Section-34,Section-31,Section-18,Section-33
,652,M,,,,,Section-25,Section-6,Section-9,Section-23,Section-27,Section-29
,653,M,,,,,Section-23,Section-2,Section-25,Section-16,Section-11,Section-1
,654,F,,,,,Section-20,Section-21,Section-11,Section-25,Section-6,Section-16
,655,F,,,,,Section-18,Section-15,Section-11,Section-7,Section-16,Section-23
Section-28,656,F,,,,,Section-28,Section-31,Section-17,Section-22,Section-9,Section-13
,657,F,,,,,Section-12,Section-24,Section-3,Section-17,Section-18,Section-7
Section-1,658,F,,,,,Section-1,Section-26,Section-31,Section-11,Section-30,Section-19
,659,M,,,,,Section-20,Section-7,Section-14,Section-24,Section-3,Section-34
,660,F,,,,,Section-5,Section-30,Section-20,Section-17,Section-31,Section-34
,661,F,,,,,Section-10,Section-13,Section-25,Section-12,Section-26,Section-32
,662,F,Y,,,,Section-34,Section-8,Section-24,Section-7,Section-5,Section-11
,663,F,,,,,Section-3,Section-29,Section-32,Section-33,Section-21,Section-12
,664,F,,,,,Section-14,Section-20,Section-27,Section-11,Section-12,Section-5
,665,F,,,,,Section-3,Section-13,Section-11,Section-17,Section-8,Section-25
,666,F,Y,,,,Section-28,Section-12,Section-31,Section-5,Section-33,Section-34
,667,F,Y,,,,Section-33,Section-2,Section-13,Section-24,Section-26,Section-27
,668,M,Y,,,,Section-18,Section-1,Section-7,Section-5,Section-34,Section-20
,669,F,,,,,Section-1,Section-18,Section-33,Section-15,Section-2,Section-35
,670,M,Y,,,,Section-27,Section-7,Section-17,Section-16,Section-3,Section-22
,671,F,,,,,Section-10,Section-3,Section-13,Section-24,Section-7,Section-18
,672,M,Y,,,,Section-20,Section-1,Section-4,Section-22,Section-33,Section-17
,673,F,Y,,,,Section-5,Section-29,Section-20,Section-11,Section-26,Section-8
,674,M,,,,,Section-33,Section-11,Section-17,Section-10,Section-15,Section-1
,675,M,,,,,Section-34,Section-7,Section-19,Section-4,Section-9,Section-28
,676,F,,,,,Section-1,Section-23,Section-19,Section-22,Section-17,Section-20
Section-19,677,F,Y,,,,Section-2,Section-19,Section-35,Section-18,Section-11,Section-24
,678,F,,,,,Section-6,Section-5,Section-19,Section-8,Section-10,Section-34
,679,M,Y,,,,Section-27,Section-10,Section-14,Section-13,Section-30,Section-2
,680,F,,,,,Section-2,Section-26,Section-8,Section-21,Section-25,Section-1
,681,F,,,,,Section-15,Section-7,Section-34,Section-1,Section-2,Section-20
,682,F,,,,,Section-24,Section-18,Section-35,Section-31,Section-12,Section-9
Section-4,683,F,Y,,,,Section-11,Section-27,Section-4,Section-34,Section-19,Section-23
,684,F,Y,,,,Section-6,Section-9,Section-33,Section-4,Section-16,Section-1
,685,F,,,,,Section-30,Section-4,Section-24,Section-11,Section-17,Section-10
,686,M,,,,,Section-2,Section-8,Section-35,Section-12,Section-13,Section-10
,687,M,,,,,Section-23,Section-18,Section-3,Section-1,Section-21,Section-30
Section-35,688,M,,,,,Section-25,Section-18,Section-35,Section-11,Section-19,Section-10
,689,F,Y,,,,Section-9,Section-4,Section-17,Section-12,Section-7,Section-34
Section-8,690,M,,,,,Section-19,Section-8,Section-32,Section-3,Section-33,Section-27
,691,M,Y,,,,Section-6,Section-7,Section-27,Section-8,Section-23,Section-15
,692,F,,,,,Section-23,Section-34,Section-9,Section-32,Section-11,Section-10
