Placement,ID,Gender,Athlete,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6
,386,M,,Section-13,Section-6,Section-22,Section-4,Section-17,Section-7
,387,M,,Section-9,Section-8,Section-20,Section-24,Section-18,Section-26
,388,F,,Section-24,Section-28,Section-19,Section-29,Section-15,Section-9
,389,M,,Section-15,Section-5,Section-17,Section-9,Section-28,Section-3
,390,F,,Section-5,Section-12,Section-19,Section-3,Section-24,Section-20
,391,F,,Section-9,Section-20,Section-5,Section-8,Section-12,Section-24
,392,M,,Section-28,Section-15,Section-2,Section-25,Section-12,Section-27
,393,F,,Section-12,Section-15,Section-6,Section-30,Section-8,Section-20
,394,F,,Section-12,Section-3,Section-15,Section-27,Section-8,Section-9
,395,F,,Section-24,Section-6,Section-11,Section-7,Section-17,Section-2
,396,F,,Section-26,Section-1,Section-17,Section-6,Section-14,Section-29
,397,M,,Section-1,Section-18,Section-6,Section-19,Section-12,Section-27
,398,M,,Section-30,Section-27,Section-3,Section-12,Section-5,Section-14
,399,M,,Section-30,Section-17,Section-10,Section-22,Section-20,Section-24
,400,F,,Section-28,Section-29,Section-12,Section-7,Section-11,Section-21
,401,M,,Section-1,Section-22,Section-15,Section-18,Section-17,Section-29
,402,M,,Section-22,Section-15,Section-2,Section-10,Section-9,Section-25
,403,M,,Section-30,Section-16,Section-19,Section-10,Section-12,Section-14
,404,F,,Section-25,Section-10,Section-3,Section-1,Section-9,Section-19
,405,M,,Section-18,Section-8,Section-1,Section-14,Section-4,Section-6
,406,F,,Section-15,Section-16,Section-14,Section-2,Section-8,Section-22
,407,F,,Section-3,Section-7,Section-11,Section-21,Section-24,Section-8
,408,M,,Section-8,Section-27,Section-10,Section-5,Section-15,Section-14
,409,F,,Section-6,Section-19,Section-16,Section-7,Section-5,Section-1
,410,F,,Section-24,Section-14,Section-9,Section-11,Section-29,Section-19
,411,F,,Section-19,Section-5,Section-22,Section-1,Section-20,Section-11
,412,F,,Section-24,Section-11,Section-5,Section-19,Section-26,Section-23
,413,F,,Section-3,Section-29,Section-21,Section-14,Section-18,Section-5
,414,M,,Section-14,Section-15,Section-30,Section-26,Section-11,Section-20
,415,F,,Section-13,Section-9,Section-22,Section-30,Section-10,Section-18
,416,F,,Section-11,Section-26,Section-4,Section-1,Section-14,Section-2
,417,F,,Section-5,Section-22,Section-18,Section-23,Section-26,Section-28
,418,F,,Section-26,Section-11,Section-24,Section-7,Section-17,Section-14
,419,M,,Section-10,Section-25,Section-16,Section-5,Section-15,Section-11
,420,F,,Section-22,Section-8,Section-17,Section-15,Section-25,Section-26
,421,M,,Section-22,Section-28,Section-13,Section-20,Section-6,Section-7
,422,M,,Section-30,Section-17,Section-3,Section-22,Section-21,Section-18
,423,F,,Section-14,Section-10,Section-23,Section-20,Section-24,Section-17
,424,F,,Section-9,Section-2,Section-24,Section-25,Section-7,Section-1
,425,M,,Section-25,Section-8,Section-26,Section-15,Section-23,Section-2
,426,F,,Section-9,Section-18,Section-24,Section-5,Section-1,Section-4
,427,M,,Section-27,Section-1,Section-3,Section-24,Section-9,Section-22
,428,F,,Section-17,Section-9,Section-6,Section-4,Section-30,Section-7
,429,F,,Section-24,Section-13,Section-23,Section-3,Section-11,Section-17
,430,M,,Section-2,Section-13,Section-5,Section-12,Section-25,Section-17
,431,F,,Section-24,Section-17,Section-29,Section-4,Section-11,Section-15
,432,M,,Section-3,Section-19,Section-30,Section-11,Section-7,Section-16
,433,M,,Section-11,Section-12,Section-8,Section-21,Section-1,Section-13
,434,M,,Section-25,Section-3,Section-28,Section-27,Section-20,Section-23
,435,M,,Section-16,Section-9,Section-30,Section-26,Section-20,Section-8
,436,F,,Section-20,Section-4,Section-10,Section-17,Section-2,Section-16
,437,F,,Section-5,Section-28,Section-29,Section-23,Section-17,Section-25
,438,M,,Section-23,Section-4,Section-10,Section-8,Section-28,Section-17
,439,F,,Section-3,Section-8,Section-11,Section-5,Section-18,Section-20
,440,M,,Section-4,Section-3,Section-8,Section-18,Section-9,Section-10
,441,F,,Section-25,Section-23,Section-29,Section-16,Section-26,Section-13
,442,M,,Section-18,Section-28,Section-12,Section-10,Section-29,Section-7
,443,F,,Section-29,Section-27,Section-11,Section-4,Section-18,Section-26
,444,M,,Section-21,Section-5,Section-20,Section-12,Section-3,Section-16
,445,F,,Section-11,Section-6,Section-29,Section-13,Section-4,Section-25
,446,M,,Section-5,Section-26,Section-23,Section-13,Section-11,Section-1
,447,M,,Section-16,Section-7,Section-13,Section-10,Section-24,Section-30
,448,M,,Section-13,Section-29,Section-28,Section-23,Section-6,Section-22
,449,F,,Section-5,Section-16,Section-23,Section-22,Section-6,Section-26
,450,M,,Section-12,Section-22,Section-29,Section-16,Section-10,Section-2
,451,F,,Section-25,Section-29,Section-13,Section-23,Section-7,Section-4
,452,F,,Section-14,Section-29,Section-21,Section-11,Section-10,Section-18
,453,F,,Section-28,Section-6,Section-25,Section-12,Section-14,Section-18
,454,M,,Section-23,Section-8,Section-18,Section-25,Section-16,Section-12
,455,M,,Section-11,Section-1,Section-9,Section-21,Section-28,Section-3
,456,F,,Section-28,Section-5,Section-20,Section-22,Section-15,Section-12
,457,M,,Section-12,Section-9,Section-15,Section-11,Section-21,Section-4
,458,F,,Section-4,Section-24,Section-8,Section-9,Section-23,Section-30
,459,F,,Section-26,Section-27,Section-21,Section-23,Section-11,Section-5
,460,F,,Section-2,Section-25,Section-29,Section-8,Section-9,Section-5
,461,M,,Section-20,Section-25,Section-2,Section-13,Section-28,Section-23
,462,M,,Section-27,Section-5,Section-29,Section-22,Section-17,Section-20
,463,F,,Section-13,Section-8,Section-11,Section-15,Section-9,Section-3
,464,M,,Section-3,Section-24,Section-25,Section-29,Section-28,Section-2
,465,F,,Section-30,Section-13,Section-4,Section-27,Section-5,Section-20
,466,M,,Section-27,Section-8,Section-19,Section-14,Section-1,Section-9
,467,M,,Section-30,Section-9,Section-29,Section-10,Section-23,Section-24
,468,M,,Section-4,Section-21,Section-22,Section-1,Section-11,Section-16
,469,M,,Section-4,Section-20,Section-13,Section-28,Section-27,Section-14
,470,F,,Section-4,Section-3,Section-28,Section-25,Section-9,Section-6
,471,M,,Section-21,Section-26,Section-22,Section-16,Section-1,Section-8
,472,F,,Section-9,Section-20,Section-22,Section-11,Section-18,Section-27
,473,M,,Section-13,Section-2,Section-4,Section-12,Section-26,Section-27
,474,F,,Section-2,Section-11,Section-17,Section-6,Section-8,Section-18
,475,F,,Section-21,Section-28,Section-3,Section-12,Section-22,Section-10
,476,F,,Section-23,Section-9,Section-3,Section-22,Section-13,Section-24
,477,M,,Section-28,Section-10,Section-21,Section-9,Section-14,Section-7
,478,M,,Section-18,Section-17,Section-15,Section-24,Section-6,Section-9
,479,F,,Section-5,Section-28,Section-14,Section-23,Section-15,Section-12
,480,F,,Section-20,Section-1,Section-24,Section-8,Section-29,Section-27
,481,M,,Section-13,Section-20,Section-15,Section-10,Section-14,Section-6
,482,F,,Section-28,Section-7,Section-26,Section-8,Section-21,Section-2
,483,M,,Section-24,Section-14,Section-30,Section-2,Section-11,Section-4
,484,F,,Section-30,Section-10,Section-9,Section-2,Section-4,Section-17
,485,F,,Section-19,Section-3,Section-18,Section-30,Section-8,Section-22
,486,M,,Section-2,Section-22,Section-8,Section-11,Section-30,Section-9
,487,M,,Section-25,Section-23,Section-18,Section-5,Section-2,Section-7
,488,F,,Section-11,Section-3,Section-10,Section-17,Section-22,Section-7
,489,M,,Section-13,Section-6,Section-24,Section-17,Section-18,Section-10
,490,M,,Section-8,Section-5,Section-16,Section-3,Section-10,Section-21
,491,M,,Section-22,Section-24,Section-5,Section-25,Section-1,Section-27
,492,F,,Section-18,Section-19,Section-4,Section-15,Section-2,Section-9
,493,F,,Section-22,Section-10,Section-18,Section-2,Section-24,Section-23
,494,M,,Section-17,Section-3,Section-2,Section-12,Section-14,Section-4
,495,F,,Section-8,Section-1,Section-3,Section-21,Section-10,Section-23
,496,M,,Section-11,Section-26,Section-18,Section-14,Section-30,Section-22
,497,M,,Section-29,Section-2,Section-28,Section-11,Section-22,Section-8
,498,F,,Section-22,Section-16,Section-5,Section-15,Section-4,Section-20
,499,F,,Section-19,Section-1,Section-22,Section-14,Section-15,Section-7
,500,F,,Section-24,Section-1,Section-5,Section-16,Section-12,Section-6
,501,F,,Section-2,Section-5,Section-14,Section-7,Section-3,Section-26
,502,M,,Section-26,Section-6,Section-1,Section-16,Section-29,Section-18
,503,F,,Section-26,Section-7,Section-16,Section-21,Section-14,Section-15
,504,M,,Section-17,Section-27,Section-19,Section-9,Section-2,Section-1
,505,M,,Section-13,Section-25,Section-9,Section-29,Section-5,Section-28
,506,M,,Section-24,Section-3,Section-1,Section-22,Section-11,Section-12
,507,F,,Section-30,Section-10,Section-3,Section-8,Section-2,Section-22
,508,F,,Section-27,Section-26,Section-18,Section-19,Section-23,Section-16
,509,M,,Section-11,Section-3,Section-29,Section-20,Section-2,Section-5
,510,M,,Section-7,Section-29,Section-21,Section-22,Section-6,Section-15
,511,F,,Section-1,Section-17,Section-20,Section-4,Section-12,Section-13
,512,M,,Section-12,Section-4,Section-13,Section-21,Section-26,Section-19
,513,F,,Section-14,Section-5,Section-25,Section-2,Section-18,Section-26
,514,M,,Section-15,Section-11,Section-25,Section-2,Section-18,Section-4
,515,F,,Section-1,Section-23,Section-2,Section-5,Section-16,Section-7
,516,F,,Section-13,Section-8,Section-11,Section-30,Section-20,Section-27
,517,F,,Section-30,Section-27,Section-24,Section-2,Section-1,Section-13
,518,F,,Section-6,Section-27,Section-18,Section-17,Section-2,Section-30
,519,F,,Section-7,Section-22,Section-23,Section-20,Section-28,Section-26
,520,F,,Section-9,Section-28,Section-15,Section-27,Section-19,Section-10
,521,M,,Section-28,Section-22,Section-3,Section-12,Section-6,Section-2
,522,M,,Section-18,Section-30,Section-10,Section-25,Section-13,Section-24
,523,F,,Section-27,Section-28,Section-1,Section-25,Section-6,Section-7
,524,M,,Section-24,Section-29,Section-26,Section-1,Section-17,Section-10
,525,F,,Section-1,Section-24,Section-21,Section-11,Section-8,Section-25
,526,F,,Section-5,Section-27,Section-16,Section-3,Section-14,Section-10
,527,F,,Section-11,Section-6,Section-1,Section-7,Section-13,Section-5
,528,F,,Section-11,Section-29,Section-23,Section-17,Section-15,Section-9
,529,F,,Section-22,Section-7,Section-8,Section-18,Section-14,Section-28
,530,M,,Section-26,Section-16,Section-1,Section-10,Section-3,Section-28
,531,M,,Section-6,Section-8,Section-1,Section-23,Section-20,Section-11
,532,F,,Section-27,Section-6,Section-11,Section-26,Section-8,Section-7
,533,M,,Section-11,Section-7,Section-22,Section-2,Section-25,Section-6
,534,M,,Section-11,Section-17,Section-13,Section-20,Section-27,Section-21
,535,M,,Section-26,Section-10,Section-17,Section-15,Section-11,Section-22
,536,M,,Section-24,Section-28,Section-9,Section-7,Section-1,Section-14
,537,F,,Section-29,Section-22,Section-13,Section-21,Section-7,Section-26
,538,F,,Section-6,Section-20,Section-16,Section-29,Section-5,Section-7
,539,F,,Section-5,Section-15,Section-26,Section-16,Section-27,Section-30
,540,F,,Section-24,Section-29,Section-25,Section-11,Section-14,Section-9
,541,F,,Section-3,Section-17,Section-24,Section-19,Section-14,Section-20
,542,F,,Section-14,Section-26,Section-12,Section-10,Section-1,Section-29
,543,F,,Section-29,Section-7,Section-18,Section-13,Section-12,Section-11
,544,M,,Section-16,Section-14,Section-4,Section-8,Section-11,Section-20
,545,F,,Section-24,Section-18,Section-5,Section-22,Section-11,Section-4
,546,F,,Section-25,Section-3,Section-17,Section-2,Section-13,Section-29
,547,F,,Section-23,Section-11,Section-4,Section-6,Section-13,Section-21
,548,M,,Section-19,Section-8,Section-5,Section-15,Section-21,Section-14
,549,F,,Section-29,Section-12,Section-6,Section-5,Section-28,Section-2
,550,M,,Section-22,Section-18,Section-12,Section-26,Section-10,Section-23
,551,M,,Section-1,Section-12,Section-26,Section-2,Section-14,Section-8
,552,M,,Section-4,Section-24,Section-13,Section-21,Section-8,Section-16
,553,M,,Section-2,Section-7,Section-1,Section-6,Section-11,Section-3
,554,M,,Section-1,Section-4,Section-5,Section-19,Section-30,Section-8
,555,F,,Section-15,Section-6,Section-16,Section-26,Section-5,Section-9
,556,M,,Section-25,Section-13,Section-21,Section-26,Section-5,Section-11
,557,M,,Section-4,Section-6,Section-22,Section-5,Section-18,Section-21
,558,M,,Section-30,Section-20,Section-10,Section-28,Section-2,Section-17
,559,F,,Section-29,Section-1,Section-11,Section-14,Section-8,Section-5
,560,M,,Section-21,Section-25,Section-18,Section-27,Section-23,Section-3
,561,F,,Section-16,Section-19,Section-2,Section-24,Section-6,Section-1
,562,M,,Section-20,Section-8,Section-3,Section-2,Section-12,Section-14
,563,M,,Section-27,Section-29,Section-17,Section-6,Section-10,Section-4
,564,M,,Section-28,Section-21,Section-20,Section-3,Section-17,Section-1
,565,F,,Section-23,Section-29,Section-21,Section-10,Section-1,Section-12
,566,M,,Section-22,Section-29,Section-14,Section-21,Section-3,Section-13
,567,F,,Section-24,Section-22,Section-29,Section-21,Section-1,Section-14
,568,F,,Section-21,Section-8,Section-12,Section-28,Section-16,Section-22
,569,F,,Section-1,Section-15,Section-5,Section-9,Section-26,Section-10
,570,M,,Section-17,Section-7,Section-9,Section-21,Section-22,Section-25
,571,M,,Section-5,Section-1,Section-12,Section-15,Section-21,Section-9
,572,M,,Section-25,Section-22,Section-14,Section-10,Section-11,Section-18
,573,M,,Section-30,Section-22,Section-24,Section-28,Section-10,Section-23
,574,M,,Section-18,Section-26,Section-24,Section-17,Section-9,Section-16
,575,F,,Section-29,Section-4,Section-3,Section-15,Section-23,Section-16
,576,M,,Section-20,Section-7,Section-21,Section-12,Section-11,Section-26
,577,F,,Section-9,Section-14,Section-17,Section-16,Section-26,Section-8
,578,F,,Section-5,Section-11,Section-17,Section-1,Section-15,Section-3
,579,M,,Section-18,Section-6,Section-29,Section-23,Section-8,Section-11
,580,M,,Section-16,Section-9,Section-14,Section-2,Section-1,Section-21
,581,F,,Section-26,Section-6,Section-4,Section-9,Section-22,Section-2
,582,M,,Section-25,Section-27,Section-15,Section-21,Section-20,Section-12
,583,F,,Section-15,Section-8,Section-10,Section-23,Section-6,Section-29
,584,F,,Section-5,Section-11,Section-22,Section-14,Section-17,Section-10
,585,M,,Section-22,Section-11,Section-4,Section-13,Section-29,Section-8
,586,F,,Section-26,Section-15,Section-1,Section-28,Section-24,Section-12
,587,M,,Section-12,Section-24,Section-9,Section-2,Section-29,Section-21
,588,F,,Section-14,Section-28,Section-4,Section-10,Section-15,Section-16
,589,M,,Section-28,Section-25,Section-22,Section-2,Section-26,Section-5
,590,F,,Section-28,Section-19,Section-16,Section-3,Section-10,Section-11
,591,M,,Section-22,Section-4,Section-21,Section-24,Section-25,Section-11
,592,F,,Section-12,Section-8,Section-28,Section-22,Section-18,Section-5
,593,F,,Section-8,Section-9,Section-5,Section-2,Section-21,Section-27
,594,M,,Section-21,Section-26,Section-13,Section-16,Section-3,Section-6
,595,F,,Section-12,Section-9,Section-29,Section-22,Section-6,Section-16
,596,F,,Section-29,Section-6,Section-13,Section-26,Section-3,Section-7
,597,F,,Section-8,Section-25,Section-29,Section-11,Section-9,Section-27
,598,M,,Section-30,Section-26,Section-6,Section-8,Section-24,Section-11
,599,M,,Section-3,Section-2,Section-24,Section-22,Section-25,Section-14
